poř. číslo;příjmení, jméno, tituly;věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
1;Svoboda Jindřich;35;DSSS;DSSS;radní města Duchcov a revizní technik;Duchcov
2;Maršálková Brambaški Jana;43;ČiKR;BEZPP;zdravotní sestra;Ústí nad Labem
3;Opl Pavel;49;DSSS;BEZPP;Policejní rada v.v., Ředitelství služby a ÚHOZ;Varnsdorf
4;Altmanová Andrea Mgr.;47;ČiKR;BEZPP;podnikatelka;Vejprty
5;Vršovský Jakub Bc.;31;DSSS;DSSS;řidič;Duchcov
6;Křížek Petr Mgr. Bc.;49;DSSS;DSSS;sociální pracovník;Děčín
7;Pohlová Šárka;51;DSSS;DSSS;pečovatelka;Teplice
8;Moravec Jiří;63;DSSS;DSSS;živnostník;Varnsdorf
9;Novák Ladislav;40;DSSS;DSSS;kuchař;Děčín
10;Růžičková Jana;48;ČiKR;BEZPP;laborantka;Ústí nad Labem
11;Štefan Miloš;65;DSSS;BEZPP;rentiér;Varnsdorf
12;Gutzer Zdeněk;53;DSSS;BEZPP;živnostník;Podbořany
13;Loskot Jiří;31;ČiKR;BEZPP;strojvůdce;Ústí nad Labem
14;André Ivana;51;DSSS;DSSS;invalidní důchodce;Krupka
15;Smékal Milan;44;DSSS;DSSS;bezpečnostní pracovník;Ústí nad Labem
16;Svatoňová Michaela;37;ČiKR;BEZPP;servírka;Ústí nad Labem
17;Hánl Milan;60;DSSS;DSSS;dělník;Varnsdorf
18;Venyercsan Petr;31;ČiKR;BEZPP;OSVČ;Ústí nad Labem
19;Šabart Jiří;46;DSSS;DSSS;vlakvedoucí;Teplice
20;Jordánová Jana DiS.;26;ČiKR;BEZPP;sociální pracovnice;Teplice
21;Žitková Marta;48;ČiKR;BEZPP;laborantka;Ústí nad Labem
22;Bim Miroslav;56;DSSS;BEZPP;pokrývač;Ústí nad Labem
23;Sklenář Martin;19;DSSS;BEZPP;elektrikář;Duchcov
24;Vaverka Tomáš;42;ČiKR;BEZPP;sanitář;Ústí nad Labem
25;Tichý Jiří;36;DSSS;BEZPP;OSVČ;Zabrušany
26;Zemančík Václav;41;ČiKR;BEZPP;vedoucí prodeje;Ústí nad Labem
27;Jelínková Dominika;25;ČiKR;BEZPP;sociální pracovnice;Dubí
28;Venyercsan Petr;56;ČiKR;BEZPP;OSVČ;Ústí nad Labem
29;Kabátová Tereza DiS.;26;ČiKR;BEZPP;sociální pracovnice;Duchcov
30;Slivka Martin;42;DSSS;BEZPP;pokrývač;Duchcov
31;Tesárková Věra;65;ČiKR;BEZPP;důchodkyně;Ústí nad Labem
32;Sklenář Jan;19;DSSS;BEZPP;IT specialista;Duchcov
33;Havliš Milan;69;ČiKR;BEZPP;důchodce;Ústí nad Labem
34;Kiezlerová Alena;47;ČiKR;BEZPP;uklízečka;Teplice
35;Gutzerová Jiřina;44;DSSS;BEZPP;sanitářka;Podbořany
36;Bureš Karel;33;DSSS;BEZPP;pokrývač;Ústí nad Labem
37;Janoušková Miluše;61;DSSS;BEZPP;OSVČ;Duchcov
38;Mráz Stanislav;59;DSSS;BEZPP;pokrývač;Hrobčice
39;Novák Zdeněk;45;DSSS;BEZPP;pokrývač;Ústí nad Labem
40;Sochor Zdeněk;71;ČiKR;BEZPP;důchodce;Ústí nad Labem
41;Novák Jindřich;44;DSSS;BEZPP;střechař;Ústí nad Labem
1;Sepp Jaroslav;47;DSZ-ZA PR.ZVÍŘ.;BEZPP;šéfkuchař, člen spolku HeRo Pomoc bez hranic;Litoměřice
2;Cihlářová Miroslava;59;DSZ-ZA PR.ZVÍŘ.;BEZPP;OSVČ, fyzioterapeut, ochránce zvířat;Chomutov
3;Dittrichová Martina;50;DSZ-ZA PR.ZVÍŘ.;BEZPP;pracovník v soc. službách, podporovatel spolků;Rumburk
4;Vavřincová Nikola Mgr.;26;DSZ-ZA PR.ZVÍŘ.;BEZPP;učitelka cizích jazyků, ochránce zvířat;Most
5;Důrasová Eva;58;DSZ-ZA PR.ZVÍŘ.;BEZPP;přípravář výroby, ochránce zvířat;Břvany
1;Ušák Filip;31;STAN;BEZPP;kandidát na hejtmana, zastupitel a bývalý starosta;Benešov nad Ploučnicí
2;Dernerová Alena MUDr.;62;STAN;BEZPP;dětská lékařka a senátorka za obvod Most;Most
3;Drozd Štefan Ing.;55;STAN;Soukromníci;starosta města Klášterec nad Ohří, předseda;Klášterec nad Ohří
4;Tomková Yveta;46;STAN;VÚ;starostka městského obv. Ústí nad Labem-Neštěmice;Ústí nad Labem
5;Šťovíček Milan Mgr.;62;STAN;STAN;ředitel střední odborné školy Schola Humanitas;Litvínov
6;Liška Petr Ing.;50;STAN;STAN;starosta obce Malé Žernoseky, stavební inženýr;Malé Žernoseky
7;Linhart Zbyněk Ing.;51;STAN;BEZPP;senátor za obvod Děčín, místostarosta města;Krásná Lípa
8;Syslová Jana;46;STAN;STAN;starostka obce Hrobčice;Hrobčice
9;Šabata Radovan;63;STAN;USZ;technik, radní a bývalý starosta města Louny;Louny
10;Oubrechtová Jana Mgr.;57;STAN;STAN;starostka města Trmice, učitelka;Trmice
11;Trávníček Tomáš Ing. MPA;38;STAN;BEZPP;vedoucí odboru Stavebního a vyvlastňovacího úřadu;Chomutov
12;Víchová Jana;52;STAN;BEZPP;systemická konzultantka, majitelka provozovatelka;Děčín
13;Špička Jaroslav;38;STAN;BEZPP;místostarosta města Žatec, manažer skupiny;Žatec
14;Svoboda Pavel;45;STAN;BEZPP;starosta obce Lipová - Vesnice roku 2019, předseda;Lipová
15;Čtverák Vlastimil;36;STAN;BEZPP;místostarosta města Roudnice nad Labem, moderátor;Roudnice nad Labem
16;Zrníková Renata Mgr.;58;STAN;VÚ;bývalá starostka Městského obvodu Ústí nad Labem;Ústí nad Labem
17;Drašner Karel;66;STAN;STAN;koordinátor vzdělání SMS ČR, zastupitel;Háj u Duchcova
18;Rejšková Ladislava Ing.;35;STAN;STAN;starostka obce Libotenice, ekonomická poradkyně;Libotenice
19;Marvan Vojtěch Mgr.;33;STAN;Soukromníci;radní města Klášterec nad Ohří, marketingový spec.;Klášterec nad Ohří
20;Grešík Valdemar Ing.;57;STAN;BEZPP;výrobce čajů a sadař;Děčín
21;Jakš Zbyněk;51;STAN;BEZPP;ředitel Podkrušnohorského technického muzea o.p.s.;Most
22;Jurajda Jindřich Ing. Bc. DiS.;30;STAN;STAN;místostarosta města Jiříkov, pedagog, předseda;Jiříkov
23;Lipský Vladimír Mgr.;50;STAN;BEZPP;ředitel Euroregionu Elbe/Labe;Chlumec
24;Uhlík Libor;54;STAN;BEZPP;pořadatel jarmarků a kulturních akcí, galerista;Úštěk
25;Hamousová Zdeňka Mgr.;59;STAN;BEZPP;starostka města Žatec, senátorka za obvod Louny;Žatec
26;Jankura Radek Bc.;45;STAN;STAN;finanční ředitel, jednatel, trenér fotbalu mládeže;Krupka
27;Nesvadba Vladimír Ing. Ph.D.;54;STAN;BEZPP;vědecký pracovník Chmelařského institutu Žatec;Kryry
28;Kardová Eva;59;STAN;BEZPP;místostarostka obce Moldava;Moldava
29;Šimek Jan;49;STAN;BEZPP;jednatel,majitel rod. kavárny,člen zastupitelstva;Varnsdorf
30;Bechyňová Miroslava Mgr.;47;STAN;BEZPP;starostka obce Přestanov, středoškolská učitelka;Přestanov
31;Papajanovský Jan;25;STAN;BEZPP;starosta města Česká Kamenice;Česká Kamenice
32;Fišer Petr Ing.;44;STAN;BEZPP;prokurista obchodní společnosti, předseda spolku;Český Jiřetín
33;Vítek Roman;42;STAN;STAN;zastupitel města Terezín,starosta TJ Sokol Terezín;Terezín
34;Vnouček Jan Bc.;43;STAN;BEZPP;místostarosta městyse Peruc;Peruc
35;Vytlačil Tomáš Mgr.;37;STAN;BEZPP;učitel, zástupce ředitele ZŠ, trenér juda;Litoměřice
36;Veselý Pavel Ing. MBA;48;STAN;BEZPP;starosta obce Český Jiřetín, ředitel společnosti;Český Jiřetín
37;Hladíková Monika Ing.;53;STAN;BEZPP;starostka obce Kytlice;Kytlice
38;Hirsch Karel;56;STAN;BEZPP;místostarosta města Hrob, předseda správní rady;Hrob
39;Málková Andrea Bc.;50;STAN;STAN;ředitelka senior centra;Ústí nad Labem
40;Woznica Vlastimil MUDr.;54;STAN;BEZPP;lékař, gastroenterolog;Most
41;Štětinová Naděžda Ing.;46;STAN;STAN;starostka obce Keblice, ekoložka;Keblice
42;Kalvas Miroslav;46;STAN;BEZPP;starosta města Jílové, účetní;Jílové
43;Sazeček Tomáš Bc.;33;STAN;STAN;místostarosta města Úštěk, koordinátor;Úštěk
44;Macháček Jan Ing.;39;STAN;USZ;vedoucí úředník, předseda spolku TJ Lokomotiva;Louny
45;Herzán Antonín;49;STAN;STAN;podnikatel, majitel Horského areálu Lesná;Boleboř
46;Schettlová Ivana Mgr.;55;STAN;STAN;obchodní zástupkyně, předsedkyně Spolku Litvínov;Litvínov
47;Holec Robert;31;STAN;BEZPP;starosta města Dolní Poustevna, předseda;Dolní Poustevna
48;Čapek Jiří Mgr. DiS.;39;STAN;BEZPP;hasič-důstojník operačního střediska HZS;Ústí nad Labem
49;Pěnkava Luděk;49;STAN;BEZPP;starosta obce Strupčice, ekonom;Strupčice
50;Zimmermann Erich;37;STAN;BEZPP;místostarosta obce Libořice, provozní elektrikář;Libořice
51;Dušánek Petr Mgr. Bc.;51;STAN;STAN;učitel, zástupce ředitelky ZŠ Chlumec, metodik;Chlumec
52;Stokláska Marek;32;STAN;STAN;podnikatel, předseda oblastního sdružení STAN;Roudnice nad Labem
53;Černý Zdeněk;42;STAN;BEZPP;starosta obce Vilémov;Vilémov
54;Novák Jan Mgr.;51;STAN;BEZPP;místostarosta města Meziboří, ředitel Gymnázia;Meziboří
55;Černý Daniel Ing.;47;STAN;BEZPP;obchodní ředitel, zastupitel a bývalý primátor;Chomutov
56;Tojnar Martin Ing.;52;STAN;STAN;technolog v průmyslové prádelně,člen osadního výb.;Litvínov
57;Fikar Roman Bc.;64;STAN;BEZPP;místostarosta městského obvodu Ústí n.L.-Neštěmice;Ústí nad Labem
58;Fábera Milan Ing.;67;STAN;BEZPP;starosta obce Lahošť;Lahošť
59;Kadleček Václav PhDr. Ing. Mgr. et Mgr.;38;STAN;BEZPP;ved. odd. nákupu a centrální logistiky, zastupitel;Kryry
60;Kolář Jan;51;STAN;BEZPP;starosta města Krásná Lípa, předseda Sdružení;Krásná Lípa
1;Kettner Zdeněk Mgr.;46;SPD;SPD;zastupitel města Teplice, učitel;Teplice
2;Hanko Dominik Ing. Bc.;41;SPD;SPD;krajský zastupitel, preventista MP, včelař, trenér;Litoměřice
3;Foldyna Jaroslav;60;SPD;BEZPP;poslanec;Děčín
4;Ježek Bohumil Ing.;44;SPD;SPD;krajský zastupitel, pedagog;Ústí nad Labem
5;Hahnová Elvíra Bc.;43;SPD;SPD;zastupitelka města Chomutov, ředitelka společnosti;Chomutov
6;Anýž Milan;50;SPD;SPD;zastupitel města Ústí n.L., živnostník-mechanik;Ústí nad Labem
7;Fábryová Dana;60;SPD;SPD;zastupitelka města Varnsdorf, úřednice;Varnsdorf
8;Smetanová Klára Mgr.;29;SPD;SPD;učitelka;Krupka
9;Hrbáček Vladislav Bc.;42;SPD;SPD;zastupitel města Žatec, rehabilitační pracovník;Žatec
10;Novotný František;70;SPD;SPD;jednatel společnosti;Litoměřice
11;Haldovský Petr;52;SPD;SPD;revizní elektrotechnik;Chomutov
12;Kolář Michal;49;SPD;SPD;zastupitel města Ústí nad Labem, technik;Ústí nad Labem
13;Kuchtová Andrea;29;SPD;SPD;jednatelka společnosti;Krupka
14;Fuchsová Jarmila Ing.;41;SPD;SPD;technik městské policie;Most
15;Podroužek František Mgr.;38;SPD;SPD;zastupitel města Teplice, učitel;Teplice
16;Poschová Ivana Mgr.;46;SPD;SPD;zastupitelka města Děčín, učitelka;Děčín
17;Müller Karel Ing.;62;SPD;SPD;finační poradce;Chomutov
18;Hladík René PhDr. CSc.;64;SPD;SPD;zastupitel města Ústí n.L., vysokoškolský pedagog;Ústí nad Labem
19;Lenartovič Radek;46;SPD;SPD;živnostník;Most
20;Lorenz Lothar;50;SPD;SPD;živnostník - rekultivace, lesnictví;Chomutov
21;Dospěl Martin;53;SPD;SPD;elektrikář;Varnsdorf
22;Zítek Václav;50;SPD;SPD;řidič;Litoměřice
23;Krivanka Ondřej Ing.;73;SPD;SPD;technik;Litvínov
24;Měkyna Miroslav;47;SPD;SPD;operátor;Žatec
25;Loskot Pavel Ing.;66;SPD;SPD;technik;Ústí nad Labem
